Lotus Sutra,Chapter name,paragraph number,page number (English),หน้า (ไทย),English,ไทย,ref/note - to be edited,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-066,163,211,"One hundred and eighty kalpas
  
  have passed in vain without a buddha,
  
  when the three evil paths were everywhere
  
  and the multitude of heavenly beings was reduced in number.","๑๐๐ กับ ๘๐ กัป
  ผ่านไปอย่างไร้ประโยชน์เพราะไม่มีพระพุทธะ
  อันเป็นเวลาที่อบายภูมิ ๓ มีอยู่ทั่วไป
  และหมู่เทวดามีจำนวนลดน้อยถอยลง",,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-067,163,211,"Now the buddha has appeared in the world
  
  to be an eye for living beings.","เวลานี้ พระพุทธองค์ทรงปรากฏขึ้นในโลกแล้ว
  เพื่อเป็นดวงตาให้แก่สรรพสัตว์ทั้งหลาย",,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-068,163,211,"The world will hurry to him
  
  and he will save and guard one and all.","โลกจะรีบเข้าหาพระองค์
  พระองค์จะช่วยและคุ้มครองแก่ทุกคน",,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-069,163,211,"He will be a father to living beings,
  
  comforting and benefiting them.","พระองค์ทรงเป็นบิดาของสรรพสัตว์
  ยังความสุขสบายและคุณประโยชน์แก่พวกเขา",,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-070,163,212,"We, through the good fortune of past existences,
  
  now are able to encounter the world-honored one.","พวกเราด้วยบุญวาสนาแต่ชาติก่อน
  ในเวลานี้ จึงได้มาพบพระผู้มีพระภาคเจ้า",,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-071,163,212,"“At that time, after the Brahma kings had recited these verses in praise of the buddha, they each spoke these words: ‘We beg the world-honored one to pity and comfort one and all, to turn the wheel of the Law, and save living beings.’",“ครั้งนั้น หลังจากพระพรหมราชได้สวดคาถาสดุดีพระพุทธะจบลงแล้ว พวกเขาต่างได้กล่าวถ้อยคำเหล่านี้ ‘พวกหม่อมฉันขออาราธนาพระผู้มีพระภาคเจ้า ได้ทรงโปรดสงสารและทำความสุขสบายให้แก่ทุกคน โดยการหมุนธรรมจักรและช่วยสรรพสัตว์ทั้งหลาย’,,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-072,163,212,"“Then the Brahma kings with a single mind and joined voices spoke in verse form, saying:",เมื่อนั้น พระพรหมราชเหล่านั้น ด้วยใจเดียวประสานเสียงกันกล่าวเป็นคาถาประพันธ์ดังนี้,,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-073,163,212,"Great sage, turn the wheel of the Law,
  
  reveal the characteristics of all phenomena,
  
  save living beings in their suffering and anguish,
  
  allow them to attain great joy.","พระมหามุนีทรงหมุนธรรมจักรเถิด
  เปิดเผยคุณลักษณะเฉพาะแห่งคำสอน
  ช่วยสรรพสัตว์ให้พ้นจากความทุกข์และความเจ็บปวด
  ให้พวกเขาได้บรรลุความปีติยินดีอันยิ่งใหญ่",,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-074,163,212,"When living beings hear this Law
  
  they will gain the way or be reborn in heaven;
  
  those in the evil paths will be reduced in number
  
  and those patient in goodness will increase.","เมื่อสรรพสัตว์ได้สดับธรรมะนี้
  พวกเขาจะได้รับมรรคหรือได้เกิดใหม่ในสวรรค์
  พวกที่อยู่ในอบายภูมิจะมีจำนวนลดลง
  และพวกที่อดทนในความดีจะมีมากขึ้น",,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-075,163 - 164,212,"“At that time the thus come one Great Universal Wisdom Excellence silently agreed to do so. Now, monks, in five hundred ten thousand million lands in the southern region the Brahma kings each observed that his palace was shining with a brilliant light such as had never been known in the past. Dancing with joy, entering a frame of mind seldom experienced, they went about visiting one another and discussing these things together, saying, ‘What is the reason our palaces put forth this brilliant light?’",“ครั้งนั้น พระมหาภิชญาชญาณาภิภูตถาคต ทรงตอบรับโดยการนิ่ง ดูก่อน ภิกษุทั้งหลาย ในห้าร้อยหมื่นล้านดินแดนทางภูมิภาคทิศใต้ พระพรหมราชทุกองค์ได้เห็นว่าวิมานของตน ส่องแสงสว่างด้วยแสงจ้าชนิดที่ไม่เคยรู้จักมาก่อนเลย ต่างตื่นเต้นด้วยความปีติยินดี และด้วยความที่ไม่เคยได้เห็นมาก่อน พวกเขาได้ไปหากันเพื่อไต่ถามเกี่ยวกับสิ่งเหล่านี้ว่า ‘อะไรเป็นเหตุให้วิมานของเราเกิดแสงสว่างจ้าอย่างนี้’,,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-076,164,213,"“Among their group there was a great Brahma king named Wonderful Law who, on behalf of the multitude of Brahma kings, spoke in verse form, saying:",“ในกลุ่มของพวกเขามีพระพรหมราชผู้ใหญ่องค์หนึ่งนามว่า สุธรรมา ผู้ซึ่งในนามของหมู่พระพรหมราช ได้กล่าวถ้อยคำเป็นคาถาประพันธ์ดังนี้,,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-077,164,213,"Our palaces
  
  shine with exceeding brilliance.","วิมานของเรา
  สว่างไสวด้วยแสงจ้าเกินธรรมดา",,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-078,164,213,"This cannot be without reason—
  
  it is well we should inquire.","เรื่องนี้คงมิได้เกิดขึ้นโดยไร้เหตุ
  สมควรที่พวกเราจะต้องออกไปสอบสวน",,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-079,164,213,"In the past hundred thousand kalpas
  
  such a sign has never been seen.","ในอดีตร้อยพันกัป
  ไม่เคยเห็นนิมิตเช่นนี้เลย",,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-080,164,213,"It is because some heavenly being of great virtue has been born,
  
  or because a buddha has appeared in the world.","อาจเป็นเพราะมีเทพผู้มีบุญใหญ่อุบัติ
  หรือเพราะว่าพระพุทธะทรงปรากฏขึ้นในโลก",,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-081,164,213,"“At that time the five hundred ten thousand million Brahma kings, accompanied by their palaces, each king taking his outer robe and filling it with heavenly flowers, journeyed together to the northern region to observe the signs there. They saw the thus come one Great Universal Wisdom Excellence in the place of enlightenment, seated on a lion seat beneath a bodhi tree, with the heavenly beings, dragon kings, gandharvas, kimnaras, and mahoragas, and the human and nonhuman beings surrounding him and paying reverence. And they saw the sixteen princes entreating the buddha to turn the wheel of the Law.",“ครั้งนั้น พระพรหมราชห้าร้อยหมื่นล้านองค์ ติดตามด้วยวิมานของตน ต่างถือเอาถุงผ้าบรรจุเต็มด้วยดอกไม้สวรรค์ ออกเดินทางไปด้วยกันยังภูมิภาคทางทิศเหนือเพื่อสืบหานิมิต ที่นั่นพวกเขาได้เห็นพระมหาภิชญาชญาณาภิภูตถาคต ณ สถานที่แห่งการตรัสรู้ ประทับบนสีหบัลลังก์ภายใต้ต้นโพธิ์โดยมีหมู่เทวดา นาคราช คนธรรพ์ กินนร มโหราค มนุษย์ และอมนุษย์ แวดล้อมและถวายความเคารพแด่พระองค์ และยังได้เห็นเจ้าชายทั้ง ๑๖ พระองค์กำลังกราบทูลอาราธนาพระพุทธะให้ทรงหมุนธรรมจักรอยู่,,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-082,164 - 165,214,"“At that time the Brahma kings bowed before the buddha, touching their heads to the ground, circled around him a hundred thousand times, and then took the heavenly flowers and scattered them over the buddha. The flowers they scattered piled up like Mount Sumeru. They also offered them as alms to the buddha’s bodhi tree. When they had finished offering the flowers, each one took his palace and presented it to the buddha, speaking these words: ‘We hope you will bestow comfort and benefit on us. We beg you to accept and occupy these palaces that we present.’","“ครั้งนั้น พระพรหมราชทั้งหมดได้เข้าไปถวายอภิวาทและถวายบังคมแด่พระพุทธะ กระทำทักษิณาวรรตรอบพระองค์หนึ่งแสนรอบแล้ว ได้นำเอาดอกไม้สวรรค์ออกมาโปรยไปยังพระพุทธองค์ ดอกไม้ที่โปรยออกไปได้รวมกันเป็นกองสูงเหมือนเขาพระสุเมรุ พวกเขายังได้ถวายดอกไม้สักการะแด่ต้นโพธิ์ของพระพุทธะด้วย เมื่อพวกเขาได้ถวายดอกไม้เสร็จแล้ว แต่ละองค์ได้นำวิมานเข้าไปถวายแด่พระพุทธะ และได้กราบทูลดังนี้ว่า
  'พวกหม่อมฉันหวังที่จะให้พระองค์ ทรงประทานความสุขสบายและคุณประโยชน์แก่พวกหม่อมฉัน ขอพระองค์ทรงรับและครอบครองวิมานที่พวกหม่อมฉันน้อมถวายนี้ด้วยเถิด พระเจ้าข้า’",,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-083,165,214,"“At that time the Brahma kings, in the presence of the buddha, with a single mind and joined voices recited these verses of praise:",“ครั้งนั้น พระพรหมราช ณ เบื้องพระพักตร์ของพระพุทธะ ด้วยใจเดียวได้ประสานเสียงสวดคาถาสดุดีดังต่อไปนี้,,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-084,165,214,"World-Honored One, most difficult to encounter,
  
  destroyer of all earthly desires,
  
  one hundred and thirty kalpas have passed
  
  and now at last we can see you.","พระผู้มีพระภาคเจ้า ยากที่สุดที่จะได้พบ
  ผู้ทำลายกิเลสทั้งหลาย
  เวลาผ่านไป ๑๓๐ กัป
  ในที่สุด บัดนี้เราได้พบพระองค์แล้ว",,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-085,165,214,"Living beings in their hunger and thirst
  
  are made full with the rain of the Dharma.","สรรพสัตว์อยู่ในสภาพหิวกระหาย
  ได้รับความอิ่มด้วยฝนแห่งธรรมะ",,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-086,165,214,"One such as was never seen in the past,
  
  one of immeasurable wisdom,
  
  like the udumbara flower
  
  today at last appears directly before us.","พระองค์เป็นผู้ที่พวกเราไม่เคยเห็นมาก่อน
  พระผู้มีปัญญาอันไม่อาจวัดได้
  เหมือนดอกอุทุมพร
  ในที่สุด วันนี้ได้ปรากฏขึ้นตรงหน้าพวกเรา",,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-087,165,215,"Our palaces because they receive your light
  
  are wonderfully adorned.","วิมานของเราเพราะได้รับแสงสว่างของพระองค์
  ทำให้ดูสวยงามอย่างน่ามหัศจรรย์",,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-088,165,215,"World-Honored One, of great mercy and compassion,
  
  we beg you to accept them.","พระผู้มีพระภาคเจ้า ด้วยมหาเมตตาและมหากรุณา
  พวกเราขอให้พระองค์ได้โปรดรับวิมานนี้เถิด",,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-089,165,215,"“At that time, after the Brahma kings had recited these verses in praise of the buddha, they each spoke these words: ‘We beg the world-honored one to turn the wheel of the Law and cause the heavenly beings, devils, Brahma kings, shramanas, and Brahmans throughout the world all to gain peace and tranquillity and to attain salvation.’",“ ครั้งนั้น หลังจากพระพรหมราชได้สวดคาถาเหล่านี้สดุดีพระพุทธะจบแล้ว พวกเขาทุกองค์ได้กล่าวคำเหล่านี้ว่า ‘พวกหม่อมฉันขออาราธนาให้พระผู้มีพระภาคเจ้าทรงหมุนธรรมจักร และทำให้เทวดา มาร พรหมราช สมณะ และพราหมณ์ ทั้งหมดทั่วโลกได้รับความสงบสุขและได้รับการช่วยให้รอด’,,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-090,165,215,"“At that time the Brahma kings with a single mind and joined voices recited verses in praise, saying:",“ครั้งนั้น พระพรหมราชทั้งหลายด้วยใจเดียวและรวมเสียงเดียวกันสวดคาถาสดุดีดังนี้,,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-091,165,215,"We beg the most honored of heavenly and human beings
  
  to turn the wheel of the unsurpassed Law.","เราขออาราธนาพระผู้มีเกียรติสูงสุดของเทวดาและมนุษย์
  ทรงหมุนธรรมจักรอันสูงสุด",,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-092,165,215,"Strike the great Dharma drum,
  
  blow the great Dharma conch,
  
  rain down the great Dharma rain all around
  
  to save immeasurable living beings!","ทรงตีกลองแห่งธรรมะอันยิ่งใหญ่
  ทรงเป่าสังข์แห่งธรรมะอันยิ่งใหญ่
  ทรงหลั่งฝนแห่งธรรมะอันยิ่งใหญ่ไปให้ทั่ว
  เพื่อช่วยสรรพสัตว์มากมายเหลือคณานับ",,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-093,166,215,"We direct all our faith and entreaties to you—
  
  let your profound and far-reaching voice sound out!","พวกเราขอมอบความศรัทธาและคำอ้อนวอนแด่พระองค์
  ได้โปรดเปล่งพระสุรเสียงอันลึกซึ้งและมีผลแผ่ไปไกล",,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-094,166,215,"“At that time the thus come one Great Universal Wisdom Excellence silently agreed to do so. In the southwestern region, and so on to the lower region, a similar succession of events occurred.",“ครั้งนั้น พระมหาภิชญาชญาณาภิภูตถาคตทรงตอบรับโดยการนิ่ง ในภูมิภาคทางทิศตะวันตกเฉียงใต้และภูมิภาคอื่น ๆ จนถึงภูมิภาคทางทิศเบื้องล่างก็ได้เกิดเหตุการณ์เหมือนดังที่กล่าวมาแล้วตามลำดับ,,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-095,166,216,"“At that time in the upper region, the Brahma kings of five hundred ten thousand million lands all observed that the palaces where they were residing shone with a brilliant light such as had never been known in the past. Dancing with joy, entering a frame of mind seldom experienced, they went about visiting one another and discussing these things together, saying, ‘What is the reason our palaces put forth this bright light?’",“ครั้งนั้น ในภูมิภาคทิศเบื้องบน พระพรหมราชแห่งห้าร้อยหมื่นล้านดินแดนต่างได้เห็นวิมานที่สถิตย์ของตนส่องด้วยแสงสว่างจ้าชนิดที่ไม่เคยรู้จักมาก่อน ต่างตื่นเต้นด้วยความปีติยินดีและด้วยความประหลาดใจ พวกเขาได้ออกมาหากันและไต่ถามกันถึงเรื่องนี้ โดยกล่าวว่า ‘อะไรเป็นเหตุให้วิมานของพวกเราเกิดแสงสว่างจ้าอย่างนี้ ’,,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-096,166,216,"“Among their group there was a great Brahma king named Shikhin who, on behalf of the multitude of Brahma kings, spoke in verse form, saying:",“ในหมู่ของพวกเขามีพระพรหมราชผู้ใหญ่องค์หนึ่งนามว่า ศิขิน ผู้ซึ่งในนามของพระพรหมราชทั้งหมด ได้กล่าวเป็นคาถาประพันธ์ดังนี้,,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-097,166,216,"Now what is the reason
  
  that our palaces
  
  glow and shine with such authority and virtue,
  
  adorned as never before?","เวลานี้อะไรเป็นเหตุ
  ให้วิมานของเรา
  สว่างโชติช่วงด้วยความมีอำนาจและความดีเช่นนี้
  และทำให้ดูสวยงามอย่างไม่เคยมีมาก่อน",,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-098,166,216,"A wonderful sign of this kind
  
  has never been seen or heard of in the past.
  
  It is because some heavenly being of great virtue has been born,
  
  or because a buddha has appeared in the world.","นิมิตมหัศจรรย์ชนิดนี้
  ไม่เคยได้เห็นหรือได้ยินมาก่อนในอดีต
  อาจเป็นเพราะเทพผู้มีบุญใหญ่บางองค์อุบัติ
  หรืออาจเป็นเพราะพระพุทธะทรงปรากฏขึ้นในโลก",,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-099,166-167,216,"“At that time the five hundred ten thousand million Brahma kings, accompanied by their palaces, each king taking his outer robe and filling it with heavenly flowers, journeyed together to the lower region to observe the signs there. They saw the thus come one Great Universal Wisdom Excellence in the place of enlightenment, seated on a lion seat beneath a bodhi tree, with the heavenly beings, dragon kings, gandharvas, kimnaras, and mahoragas, and the human and nonhuman beings surrounding him and paying reverence. And they saw the sixteen princes entreating the buddha to turn the wheel of the Law.",“ครั้งนั้น พระพรหมราชห้าร้อยหมื่นล้านองค์ ติดตามด้วยวิมานของตน ต่างถือถุงผ้าบรรจุเต็มด้วยดอกไม้สวรรค์ ออกเดินทางไปด้วยกันยังภูมิภาคทางทิศเบื้องล่างเพื่อสืบหานิมิตนั้น ที่นั่นพวกเขาได้เห็นพระมหาภิชญาชญาณาภิภูตถาคต ณ สถานที่แห่งการตรัสรู้ ประทับบนสีหบัลลังก์ภายใต้ต้นโพธิ์ โดยมีปวงเทวดา นาคราช คนธรรพ์ กินนร มโหราค มนุษย์ และอมนุษย์ แวดล้อมและถวายเคารพแด่พระองค์ และได้เห็นเจ้าชายทั้ง ๑๖ องค์กำลังอาราธนาพระพุทธองค์ให้ทรงหมุนธรรมจักรอยู่,,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-100,167,217,"“At that time the Brahma kings bowed before the buddha, touching their heads to the ground, circled around him a hundred thousand times, and then took the heavenly flowers and scattered them over the buddha. The flowers they scattered piled up like Mount Sumeru. They also offered them as alms to the buddha’s bodhi tree. When they had finished offering the flowers, each one took his palace and presented it to the buddha, speaking these words: ‘We hope you will bestow comfort and benefit on us. We beg you to accept and occupy these palaces that we present.’","“ครั้งนั้น พระพรหมราชได้เข้าไปถวายอภิวาทและถวายบังคมแด่พระพุทธะ กระทำทักษิณาวรรตพระพุทธองค์หนึ่งแสนรอบแล้ว ได้นำเอาดอกไม้สวรรค์ออกมาโปรยไปยังพระพุทธะ ดอกไม้ที่โปรยออกไปได้รวมกันเป็นกองสูงเหมือนเขาพระสุเมรุ พวกเขายังได้ถวายดอกไม้เป็นเครื่องสักการะแด่ต้นโพธิ์ของพระพุทธะอีกด้วย เมื่อพวกเขาได้ถวายดอกไม้เสร็จลงแล้ว แต่ละองค์ได้นำวิมานของตนเข้าไปถวายแด่พระพุทธะ และได้กราบทูลดังนี้ว่า
  ‘พวกหม่อมฉันหวังที่จะให้พระองค์ประทานความสุขสบายและคุณประโยชน์แก่พวกหม่อมฉัน ขอพระองค์ทรงรับและครอบครองวิมานเหล่านี้ที่พวกหม่อมฉันน้อมถวายด้วยเถิด พระเจ้าข้า’",,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-101,167,217,"“At that time the Brahma kings, in the presence of the buddha, with a single mind and joined voices recited these verses of praise:",“ครั้งนั้นพระพรหมราชทั้งหลาย ณ เบื้องพระพักตร์ของพระพุทธะ ด้วยใจเดียวและด้วยเสียงเดียวกัน ได้สวดคาถาสดุดีเหล่านี้ดังนี้,,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-102,167,217,"How fine, that we may see the buddhas,
  
  sage and venerable ones who save the world,
  
  capable of rescuing and releasing living beings
  
  from the hell of the threefold world!","ช่างดีนัก ที่พวกเราได้พบพระพุทธะทั้งหลาย
  อริยะผู้ช่วยโลกอันชาญฉลาดและน่าเคารพ
  สามารถช่วยและปลดปล่อยสรรพสัตว์
  ให้หลุดพ้นจากนรกแห่ง ๓ ภพ",,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-103,167,218,"Venerable among heavenly and human beings, of universal wisdom,
  
  you pity and have mercy on the mass of burgeoning creatures,
  
  you are capable of opening the gates of sweet dew
  
  and broadly saving one and all.","ที่เคารพในหมู่เทวดาและมนุษย์ แห่งปัญญาสากล
  พระองค์ทรงสงสารและเมตตาแก่หมู่สัตว์ผู้อ่อนวัย
  พระองค์สามารถเปิดประตูแห่งนํ้าอมฤต
  เพื่อช่วยทุก ๆ คนให้รอดปลอดภัยอย่างกว้างขวาง",,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-104,167,218,"Formerly, immeasurable kalpas
  
  passed in vain when no buddha was present.","แต่ปางก่อน จำนวนกัปนับไม่ถ้วน
  ได้ผ่านไปอย่างไร้ค่าเมื่อไม่มีพระพุทธะปรากฏ",,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-105,167,218,"The time had not yet come for the world-honored one to appear,
  
  and all in the ten directions were in constant darkness.","เวลาที่ยังไม่มีพระผู้มีพระภาคเจ้าปรากฏ
  ทั่วทั้งสิบทิศถูกความมืดครอบคลุมอยู่ตลอดเวลา",,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-106,167,218,"Those in the three evil paths increased in number
  
  and the realm of the asuras flourished;
  
  the multitude of heavenly beings was reduced,
  
  and many when they died fell into the evil paths.","พวกที่อยู่ในอบายภูมิ ๓ มีจำนวนเพิ่มขึ้น
  และพวกที่อยู่ในอสูรภูมิรุ่งเรืองเฟื่องฟู
  พวกเทวดามีจำนวนลดน้อยถอยลง
  และมีมากมายที่เมื่อตายแล้วตกลงสู่อบายภูมิ",,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-107,167-168,218,"Since no one could hear the teaching from a buddha,
  
  constantly people followed ways that were not good,
  
  and their physical strength and wisdom
  
  all diminished and declined.","เนื่องจากไม่ได้เข้าเฝ้าพระพุทธะและไม่ได้สดับธรรมะ
  ตลอดเวลาประชาชนปฏิบัติตามทางที่ไม่ดี
  ทำให้กำลังกายและกำลังสติปัญญาของพวกเขา
  ลดน้อยถอยลงไปทั้งหมด",,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-108,168,218,"Because of the sinful deeds they had done,
  
  they lost all delight or the thought of delight.","เพราะเหตุแห่งบาปกรรมที่พวกเขาได้กระทำไว้
  พวกเขาจะสูญเสียความยินดี",,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-109,168,218,"They rested in erroneous doctrines
  
  and had no knowledge of good customs or rules.","และความคิดแห่งความยินดีทั้งหลาย
  พวกเขาอาศัยอยู่ในคำสอนนอกรีต",,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-110,168,218,"Unable to be converted by a buddha,
  
  constantly they fell into the evil paths.","ไม่มีความรู้เกี่ยวกับประเพณีหรือกฎระเบียบที่ดี
  ไม่สามารถที่จะได้รับการเปลี่ยนแปลงโดยพระพุทธะ
  พวกเขาจะตกลงสู่อบายภูมิบ่อย ๆ",,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-111,168,219,"But now you, the buddha, who will be the eye of the world,
  
  after this long time have at last come forth.","แต่เวลานี้พระพุทธองค์ผู้ทรงเป็นดวงตาของโลก
  หลังจากเวลาอันยาวนานนี้ ในที่สุดก็ได้อุบัติขึ้น",,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-112,168,219,"In order to bring pity and comfort to living beings
  
  you have appeared in the world.","เพื่อที่จะนำความสงสารและความสุขสบายมาให้สรรพสัตว์
  พระองค์ได้ปรากฏขึ้นมาแล้วในโลก",,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-113,168,219,"You have transcended the world to gain correct enlightenment;
  
  we are filled with delight and admiration.","พระองค์ทรงอยู่เหนือโลกแล้วเพื่อบรรลุการตรัสรู้ที่ถูกต้อง
  พวกเราต่างเต็มไปด้วยความยินดีและความชื่นชม",,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-114,168,219,"We and all others in the assembly
  
  rejoice, delighting in what we have never known before.","พวกเราและคนอื่น ๆ ในที่ประชุมนี้
  มีความสุขและดีใจในสิ่งที่เราไม่เคยได้รู้จักมาก่อน",,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-115,168,219,"Our palaces because they receive your light
  
  are wonderfully adorned.","วิมานของเราเพราะได้รับแสงของพระองค์
  ทำให้ได้รับการประดับอย่างน่ามหัศจรรย์",,,,,,,,,,,,,,,,,,,,
chapter 07,The Parable of the Phantom City /บทการเปรียบเทียบเรื่องปราสาทเนรมิต,chap07-116,168,219,"Now we present them to the world-honored one,
  
  hoping he will have pity and accept them.","เวลานี้เราขอถวายวิมานนี้แด่พระผู้มีพระภาคเจ้า
  หวังว่าพระองค์จะทรงเมตตารับเอาไว้",,,,,,,,,,,,,,,,,,,,
